menu_id,category,menu,menu_th,menu_cn,menu_jp,description,description_th,price,cost,calories,ingredient,rating,reviewers
C13,coffee,Nitro Flat White,ไนโตรแฟลตไวท์,氮气平白咖啡,ニトロフラットホワイト,"Smooth, creamy espresso infused with nitrogen for a velvety texture and rich flavor, served cold for a refreshing twist.",เอสเพรสโซ่เนียนนุ่ม ครีมมี่ ผสมไนโตรเจนเพื่อให้มีเนื้อสัมผัสนุ่มละมุนและรสชาติอันเข้มข้น เสิร์ฟเย็นเพื่อความสดชื่นที่แตกต่าง,155,62,120,"Nitro Cold Brew, Milk, Sugar, Vanilla Syrup",3.2,984.0
C14,coffee,Mocha Cold Brew,มอคค่าโคลด์บรูว์,摩卡冷萃咖啡,モカコールドブリュー,"Rich cold brew coffee blended with velvety chocolate and a hint of cream, served over ice for a refreshing treat.",กาแฟเย็นเข้มข้นผสมกับช็อกโกแลตนุ่มละมุนและครีมเล็กน้อย เสิร์ฟบนน้ำแข็งเพื่อความสดชื่น,165,66,150 calories,"Mocha Cold Brew,Cold Brew Coffee,Chocolate Syrup,Milk,Whipped Cream",4.6,1124.0
S12,smoothie,Watermelon Smoothie,สมูทตี้แตงโม,西瓜奶昔,スイカスムージー,"Refreshing watermelon smoothie blended with fresh fruit, a hint of mint, and a splash of lime for a summer delight.","สมูทตี้แตงโมสดชื่นที่ผสมกับผลไม้สด, กลิ่นมิ้นท์เล็กน้อย, และน้ำมะนาวเพื่อความอร่อยในฤดูร้อน",75,30,Approximately 150 calories.,"Watermelon, Yogurt, Honey, Lime Juice",2.5,1212.0
S13,smoothie,Kiwi Smoothie,สมูทตี้กีวี,奇异果奶昔,キウイスムージー,"Refreshing kiwi smoothie blended with creamy yogurt, honey, and a hint of mint for a tropical twist.",สมูทตี้กีวีสดชื่นที่ผสมกับโยเกิร์ตครีมมี่ น้ำผึ้ง และกลิ่นมิ้นท์เล็กน้อยเพื่อเพิ่มความเป็นเขตร้อน,90,40,Approximately 150 calories.,"Kiwi, Banana, Yogurt, Honey",4.0,1359.0
S14,smoothie,Mango Smoothie,มะม่วงสมูทตี้,芒果奶昔,マンゴースムージー,"Refreshing mango smoothie blended with ripe mangoes, creamy yogurt, and a hint of honey for a tropical delight.","สมูทตี้มะม่วงสดชื่นที่ผสมมะม่วงสุก, โยเกิร์ตครีมมี่, และน้ำผึ้งเล็กน้อยเพื่อความอร่อยแบบเขตร้อน",90,31,200,"Mango, Yogurt, Honey, Ice",3.6,1276.0
S15,smoothie,Strawberry Smoothie,สมูทตี้สตรอว์เบอร์รี,草莓奶昔,ストロベリースムージー,"Refreshing strawberry smoothie blended with ripe strawberries, creamy yogurt, and a hint of honey for a deliciously fruity treat.","สมูทตี้สตรอว์เบอร์รีสดชื่นที่ผสมกับสตรอว์เบอร์รีสุก, โยเกิร์ตครีมมี่, และน้ำผึ้งเล็กน้อยเพื่อให้เป็นขนมผลไม้ที่อร่อย",85,25,200,"Strawberries, Yogurt, Honey, Milk",2.7,794.0
T16,tea,Black Tea,ชาดำ,红茶,紅茶,"Rich and robust black tea, brewed to perfection, offering a bold flavor with a smooth finish. Perfect for any time!",ชาดำที่เข้มข้นและมีรสชาติกลมกล่อม ชงได้อย่างลงตัว มอบรสชาติที่กล้าหาญพร้อมกับความนุ่มนวล เหมาะสำหรับทุกเวลา!,45,9,2 calories,"Black Tea, Water, Sugar, Milk",4.1,760.0
T17,tea,Thai Tea,ชาไทย,泰式奶茶,タイティー,"Rich, creamy Thai tea infused with spices, served hot or iced for a refreshing, aromatic experience.",ชาไทยเข้มข้นและครีมมี่ที่มีการปรุงด้วยเครื่องเทศ เสิร์ฟร้อนหรือเย็นเพื่อประสบการณ์ที่สดชื่นและมีกลิ่นหอม,70,17,120 calories,"Thai Tea,Black Tea,Condensed Milk,Sugar",2.9,629.0
T18,tea,Bubble Tea,ชานมไข่มุก,珍珠奶茶,バブルティー,"Delicious bubble tea with chewy tapioca pearls, available in various flavors and customizable sweetness levels for a refreshing treat.",ชานมไข่มุกอร่อยที่มีไข่มุกหนึบหนับ มีให้เลือกหลายรสชาติและสามารถปรับระดับความหวานได้ตามต้องการ เป็นของหวานที่สดชื่น,70,17,300-500 calories (varies by ingredients and size),"Tapioca pearls, Milk, Tea, Sweetener",4.8,1028.0
T19,tea,Green Tea,ชาเขียว,绿茶,緑茶,"Refreshing green tea, brewed from premium leaves, rich in antioxidants and perfect for a calming experience. Enjoy hot or iced!",ชาเขียวสดชื่น ชงจากใบชาคุณภาพสูง อุดมไปด้วยสารต้านอนุมูลอิสระและเหมาะสำหรับการผ่อนคลาย เพลิดเพลินได้ทั้งร้อนและเย็น!,65,19,2 calories,"Green Tea, Water, Honey, Lemon",4.3,1082.0
T20,tea,Jasmine Tea,ชามะลิ,茉莉花茶,ジャスミン茶,"Delicate jasmine tea infused with fragrant blossoms, offering a soothing and aromatic experience in every sip. Perfectly refreshing!",ชาสะระแหน่ที่ละเอียดอ่อนผสมกับดอกไม้หอม มอบประสบการณ์ที่ผ่อนคลายและมีกลิ่นหอมในทุกๆ การดื่ม สดชื่นอย่างลงตัว!,55,11,2 calories,"Jasmine tea, Green tea leaves, Jasmine flowers, Water",2.6,224.0
T21,tea,Yuzu Tea,ชาโยซุ,柚子茶,ユズ茶,"Refreshing yuzu tea, a citrus blend of tangy yuzu fruit and soothing green tea, perfect for a revitalizing sip.",ชา yuzu ที่สดชื่น เป็นการผสมผสานระหว่างผลไม้ yuzu รสเปรี้ยวและชาเขียวที่ช่วยให้ผ่อนคลาย เหมาะสำหรับการดื่มเพื่อฟื้นฟูพลังงาน,70,24,60 calories,"Yuzu juice, Honey, Water, Sugar",3.1,1334.0
T98,tea,Nitro Black Tea Lemonade,น้ำชานิโตรดำมะนาว,氮气黑茶柠檬水,ナイトロブラックティーレモネード,"Refreshing nitro-infused black tea lemonade, combining bold tea flavors with zesty lemon for a fizzy, invigorating drink.",ชาเลมอนน้ำแข็งที่มีไนโตรฟองสดชื่น ผสมผสานรสชาติเข้มข้นของชาเข้ากับมะนาวเปรี้ยวเพื่อให้ได้เครื่องดื่มที่มีฟองและกระปรี้กระเปร่า,120,55,100 calories,"Nitro Black Tea, Lemonade, Simple Syrup, Ice",,
T99,tea,Lemon Tea,ชาเลมอน,柠檬茶,レモンティー,"Refreshing lemon tea, brewed with fresh lemons and a hint of honey, perfect for a revitalizing pick-me-up.",ชาเลมอนสดชื่น ชงจากเลมอนสดและน้ำผึ้งเล็กน้อย เหมาะสำหรับการฟื้นฟูพลังงาน.,70,30,30 calories,"Lemon, Tea, Sugar, Water",,
C99,coffee,Espresso Con Panna,เอสเพรสโซ่คอนปานนา,意式浓缩咖啡加奶油,エスプレッソ・コン・パンナ,"Espresso Con Panna: Rich espresso topped with a dollop of creamy whipped cream for a delightful, indulgent treat.",เอสเพรสโซ คอน พันนา: เอสเพรสโซเข้มข้นที่มีวิปครีมเนื้อครีมฟูอยู่ด้านบน เป็นของหวานที่น่าพอใจและหรูหรา,110,45,80 calories,"Espresso, Whipped Cream, Sugar",,
